symbol,requested_symbol,resolved_symbol,sample_label,timeframe,family,side,session,hardening_mode,recent_closed,recent_win_rate,recent_pf,recent_expectancy,recent_max_drawdown,total_closed,total_win_rate,total_pf,total_expectancy,total_max_drawdown,monte_carlo_stressed_pf,monte_carlo_stressed_expectancy,monte_carlo_p95_drawdown,spread_x1_5_pf,spread_x2_pf,instrument_type,digits,point,tick_size,spread_points,estimated_spread_price,commission_assumption,slippage_assumption,spread_x1_5_cost,spread_x2_cost,cost_model_confidence,cost_model_reason,remove_best_5_pf,fragile_regime_dependency,single_trade_dependency,candidate,recommendation,rejection_reasons,multi_symbol_score,source_csv
XAUUSD,XAUUSD,XAUUSD.B,XAUUSD_M15_20000,M15,recent_session_open_continuation,both,all,fast_loss_cut,17,58.82,1.704,0.1872,89.845714,52,48.08,1.4322,0.091,106.160714,0.6738,-2.280148,188.990003,1.4256,1.4192,metal,2,0.01,0.01,25.0,0.25,0.0,5.0,37.5,50.0,medium,default_instrument_model,0.872,False,False,False,observation_only,recent_sample_below_20;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative;remove_best_5_pf_below_1,256.6306,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\XAUUSD.b_M15_20000.csv
XAUUSD,XAUUSD,XAUUSD.B,XAUUSD_M15_20000,M15,recent_session_open_continuation,both,all,trailing_defensive,17,58.82,1.704,0.1872,89.845714,53,50.94,1.4046,0.0818,106.225846,0.662,-2.365529,213.176837,1.3989,1.3932,metal,2,0.01,0.01,25.0,0.25,0.0,5.0,37.5,50.0,medium,default_instrument_model,0.8567,False,False,False,observation_only,recent_sample_below_20;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative;remove_best_5_pf_below_1,249.18,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\XAUUSD.b_M15_20000.csv
ETHUSD,ETHUSD,ETHUSD,ETHUSD_M30_20000,M30,recent_volatility_breakout,both,all,trailing_defensive,28,53.57,1.1394,0.0924,54.707928,85,52.94,1.5895,0.1724,95.589964,0.9422,-0.507877,233.679608,1.4632,1.4401,crypto,2,0.01,0.01,50.0,0.5,0.0,10.0,75.0,100.0,medium,default_instrument_model,1.2193,True,False,False,observation_only,recent_pf_below_1_15;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative;fragile_regime_dependency,190.108,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\ETHUSD_M30_20000.csv
EURUSD,EURUSD,EURUSD,EURUSD_H1_20000,H1,recent_session_open_continuation,both,all,baseline,1,0.0,0.0,-0.5643,0.0,12,58.33,2.8284,0.3826,0.004743,1.8217,0.000637,0.009598,2.7776,2.7285,forex,5,1e-05,1e-05,12.0,0.00012,0.0,1.8,18.0,24.0,medium,default_instrument_model,0.558,True,False,False,reject,recent_sample_below_20;total_sample_below_50;recent_pf_below_1_15;recent_expectancy_not_positive;remove_best_5_pf_below_1;fragile_regime_dependency,120.6428,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\EURUSD_H1_20000.csv
EURUSD,EURUSD,EURUSD,EURUSD_H1_20000,H1,recent_session_open_continuation,both,all,fast_loss_cut,1,0.0,0.0,-0.5643,0.0,12,58.33,2.8284,0.3826,0.004743,1.8217,0.000637,0.009598,2.7776,2.7285,forex,5,1e-05,1e-05,12.0,0.00012,0.0,1.8,18.0,24.0,medium,default_instrument_model,0.558,True,False,False,reject,recent_sample_below_20;total_sample_below_50;recent_pf_below_1_15;recent_expectancy_not_positive;remove_best_5_pf_below_1;fragile_regime_dependency,120.6428,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\EURUSD_H1_20000.csv
ETHUSD,ETHUSD,ETHUSD,ETHUSD_M30_20000,M30,recent_liquidity_sweep,both,all,fast_loss_cut,14,64.29,2.7797,0.284,22.458163,50,46.0,0.9972,0.0207,104.647178,0.4705,-3.592631,217.214506,1.0316,0.9866,crypto,2,0.01,0.01,50.0,0.5,0.0,10.0,75.0,100.0,medium,default_instrument_model,0.6088,True,False,False,reject,recent_sample_below_20;total_pf_below_1_15;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative;remove_best_5_pf_below_1;fragile_regime_dependency,99.6472,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\ETHUSD_M30_20000.csv
US500,US500,US500.B,US500_H1_20000,H1,recent_session_open_continuation,both,all,baseline,30,43.33,1.1829,0.0278,71.611953,76,51.32,1.227,0.0721,71.611953,0.7222,-2.374579,269.810309,1.2984,1.4057,index,1,0.1,0.1,15.0,1.5,0.0,3.0,22.5,30.0,medium,default_instrument_model,0.9346,True,False,False,observation_only,monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative;remove_best_5_pf_below_1;fragile_regime_dependency,96.5763,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\US500.b_H1_20000.csv
EURUSD,EURUSD,EURUSD,EURUSD_H1_20000,H1,recent_session_open_continuation,both,all,mae_guard,1,0.0,0.0,-0.5643,0.0,12,58.33,2.7365,0.3775,0.005003,1.7625,0.000611,0.010118,2.6888,2.6425,forex,5,1e-05,1e-05,12.0,0.00012,0.0,1.8,18.0,24.0,medium,default_instrument_model,0.5399,True,False,False,reject,recent_sample_below_20;total_sample_below_50;recent_pf_below_1_15;recent_expectancy_not_positive;remove_best_5_pf_below_1;fragile_regime_dependency,90.9458,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\EURUSD_H1_20000.csv
XAUUSD,XAUUSD,XAUUSD.B,XAUUSD_H1_20000,H1,recent_volatility_breakout,both,all,baseline,12,58.33,1.3037,0.1442,69.327143,19,63.16,1.572,0.2614,69.327143,1.0511,0.72344,245.994786,1.571,1.57,metal,2,0.01,0.01,25.0,0.25,0.0,5.0,37.5,50.0,medium,default_instrument_model,0.6799,False,False,False,reject,recent_sample_below_20;total_sample_below_50;remove_best_5_pf_below_1,86.6484,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\XAUUSD.b_H1_20000.csv
XAUUSD,XAUUSD,XAUUSD.B,XAUUSD_H1_20000,H1,recent_volatility_breakout,both,all,fast_loss_cut,12,58.33,1.3037,0.1442,69.327143,19,63.16,1.572,0.2614,69.327143,1.0511,0.72344,245.994786,1.571,1.57,metal,2,0.01,0.01,25.0,0.25,0.0,5.0,37.5,50.0,medium,default_instrument_model,0.6799,False,False,False,reject,recent_sample_below_20;total_sample_below_50;remove_best_5_pf_below_1,86.6484,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\XAUUSD.b_H1_20000.csv
XAUUSD,XAUUSD,XAUUSD.B,XAUUSD_H1_20000,H1,recent_volatility_breakout,both,all,trailing_defensive,12,58.33,1.3037,0.1442,69.327143,19,63.16,1.572,0.2614,69.327143,1.0511,0.72344,245.994786,1.571,1.57,metal,2,0.01,0.01,25.0,0.25,0.0,5.0,37.5,50.0,medium,default_instrument_model,0.6799,False,False,False,reject,recent_sample_below_20;total_sample_below_50;remove_best_5_pf_below_1,86.6484,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\XAUUSD.b_H1_20000.csv
ETHUSD,ETHUSD,ETHUSD,ETHUSD_M30_20000,M30,recent_liquidity_sweep,both,all,baseline,14,64.29,2.7797,0.284,22.458163,50,46.0,0.9972,0.0207,104.647178,0.4705,-3.592631,217.214506,0.9869,0.9866,crypto,2,0.01,0.01,50.0,0.5,0.0,10.0,75.0,100.0,medium,default_instrument_model,0.6088,True,False,False,reject,recent_sample_below_20;total_pf_below_1_15;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative;spread_x1_5_pf_below_1;remove_best_5_pf_below_1;fragile_regime_dependency,85.4352,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\ETHUSD_M30_20000.csv
XAUUSD,XAUUSD,XAUUSD.B,XAUUSD_H1_20000,H1,recent_session_open_continuation,both,all,mae_guard,12,50.0,1.231,0.2413,106.264286,66,59.09,1.4772,0.2452,106.264286,0.6513,-2.513622,301.843826,1.4152,1.4106,metal,2,0.01,0.01,25.0,0.25,0.0,5.0,37.5,50.0,medium,default_instrument_model,0.8429,False,True,False,observation_only,recent_sample_below_20;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative;remove_best_5_pf_below_1;single_trade_dependency,78.8293,C:\Users\Eduardo\Desktop\GenesisBot_repo_git\data\backtests\multisymbol\XAUUSD.b_H1_20000.csv
