time,open,high,low,close,volume
2024-10-10T04:00:00+00:00,1.30722,1.3075700000000001,1.3067,1.30743,1172
2024-10-10T04:30:00+00:00,1.30742,1.30778,1.30714,1.30714,1017
2024-10-10T05:00:00+00:00,1.30712,1.30773,1.3071,1.30743,714
2024-10-10T05:30:00+00:00,1.30741,1.3076400000000001,1.3072599999999999,1.30755,526
2024-10-10T06:00:00+00:00,1.30756,1.30777,1.30744,1.3076400000000001,307
2024-10-10T06:30:00+00:00,1.30765,1.30765,1.30716,1.30721,498
2024-10-10T07:00:00+00:00,1.3072,1.30761,1.30678,1.3072300000000001,746
2024-10-10T07:30:00+00:00,1.30727,1.3075999999999999,1.307,1.30718,812
2024-10-10T08:00:00+00:00,1.30718,1.30766,1.30674,1.30766,1100
2024-10-10T08:30:00+00:00,1.30765,1.30813,1.30738,1.30774,1014
2024-10-10T09:00:00+00:00,1.30773,1.30809,1.30727,1.30789,1084
2024-10-10T09:30:00+00:00,1.3079,1.30888,1.30773,1.30829,1054
2024-10-10T10:00:00+00:00,1.30831,1.30831,1.30675,1.30711,1091
2024-10-10T10:30:00+00:00,1.30709,1.30778,1.30704,1.30738,954
2024-10-10T11:00:00+00:00,1.30741,1.30759,1.30677,1.30754,747
2024-10-10T11:30:00+00:00,1.30753,1.30782,1.30728,1.30769,770
2024-10-10T12:00:00+00:00,1.30766,1.3079399999999999,1.30716,1.30741,584
2024-10-10T12:30:00+00:00,1.30742,1.30915,1.3071,1.30915,717
2024-10-10T13:00:00+00:00,1.30915,1.30937,1.30789,1.3081,1013
2024-10-10T13:30:00+00:00,1.30815,1.30831,1.3066200000000001,1.30667,822
2024-10-10T14:00:00+00:00,1.30668,1.30671,1.30545,1.3063500000000001,1160
2024-10-10T14:30:00+00:00,1.30631,1.309,1.3021099999999999,1.30758,2946
2024-10-10T15:00:00+00:00,1.30762,1.30846,1.30657,1.30685,2143
2024-10-10T15:30:00+00:00,1.3069,1.30711,1.30405,1.30579,2084
2024-10-10T16:00:00+00:00,1.3058100000000001,1.3064200000000001,1.30304,1.30304,2093
2024-10-10T16:30:00+00:00,1.30302,1.30559,1.30252,1.3048899999999999,1844
2024-10-10T17:00:00+00:00,1.3048899999999999,1.3053,1.30396,1.30477,1478
2024-10-10T17:30:00+00:00,1.30471,1.30548,1.30432,1.30523,1197
2024-10-10T18:00:00+00:00,1.30526,1.30592,1.30507,1.30537,1084
2024-10-10T18:30:00+00:00,1.30537,1.3054299999999999,1.30312,1.3035,1474
2024-10-10T19:00:00+00:00,1.30351,1.30465,1.30214,1.30447,1546
2024-10-10T19:30:00+00:00,1.30449,1.30525,1.30434,1.30469,1088
2024-10-10T20:00:00+00:00,1.30469,1.30497,1.30442,1.3048199999999999,850
2024-10-10T20:30:00+00:00,1.30481,1.3052000000000001,1.3046,1.30465,886
2024-10-10T21:00:00+00:00,1.30463,1.30534,1.30433,1.30521,777
2024-10-10T21:30:00+00:00,1.30521,1.30578,1.30521,1.30552,775
2024-10-10T22:00:00+00:00,1.30557,1.3064,1.30551,1.30616,491
2024-10-10T22:30:00+00:00,1.30615,1.30616,1.30563,1.30563,480
2024-10-10T23:00:00+00:00,1.30572,1.30594,1.30355,1.30556,166
2024-10-10T23:30:00+00:00,1.30556,1.30609,1.30519,1.30545,491
2024-10-11T00:00:00+00:00,1.3054700000000001,1.30595,1.30525,1.30561,246
2024-10-11T00:30:00+00:00,1.30565,1.30576,1.3056,1.30569,235
2024-10-11T01:00:00+00:00,1.30569,1.30584,1.30554,1.30571,269
2024-10-11T01:30:00+00:00,1.3057,1.3061099999999999,1.3057,1.3061099999999999,240
2024-10-11T02:00:00+00:00,1.3061099999999999,1.3063,1.30576,1.3061099999999999,494
2024-10-11T02:30:00+00:00,1.3061,1.30637,1.30585,1.30637,617
2024-10-11T03:00:00+00:00,1.30641,1.30664,1.30612,1.3063799999999999,529
2024-10-11T03:30:00+00:00,1.3063799999999999,1.3063799999999999,1.3054999999999999,1.3058,635
2024-10-11T04:00:00+00:00,1.30579,1.30627,1.30555,1.30598,539
2024-10-11T04:30:00+00:00,1.30597,1.30628,1.3058100000000001,1.30617,692
2024-10-11T05:00:00+00:00,1.30618,1.30627,1.30517,1.30548,581
2024-10-11T05:30:00+00:00,1.30549,1.30556,1.30531,1.30545,442
2024-10-11T06:00:00+00:00,1.30546,1.3054999999999999,1.3048899999999999,1.30496,447
2024-10-11T06:30:00+00:00,1.30496,1.30506,1.30481,1.30492,335
2024-10-11T07:00:00+00:00,1.30492,1.30506,1.30458,1.30465,521
2024-10-11T07:30:00+00:00,1.30466,1.30517,1.3046,1.30496,573
2024-10-11T08:00:00+00:00,1.30503,1.30526,1.30441,1.305,885
2024-10-11T08:30:00+00:00,1.305,1.30536,1.30415,1.30505,860
2024-10-11T09:00:00+00:00,1.30506,1.30584,1.30471,1.30575,1168
2024-10-11T09:30:00+00:00,1.30576,1.30749,1.30555,1.30747,969
2024-10-11T10:00:00+00:00,1.30747,1.30782,1.30663,1.30766,904
2024-10-11T10:30:00+00:00,1.3076699999999999,1.30807,1.30704,1.3073299999999999,814
2024-10-11T11:00:00+00:00,1.3072300000000001,1.30749,1.3070300000000001,1.30736,706
2024-10-11T11:30:00+00:00,1.30735,1.30766,1.30686,1.30702,713
2024-10-11T12:00:00+00:00,1.30698,1.30704,1.3062,1.30634,671
2024-10-11T12:30:00+00:00,1.30634,1.30648,1.30573,1.3060800000000001,758
2024-10-11T13:00:00+00:00,1.3060800000000001,1.30657,1.3051300000000001,1.30527,777
2024-10-11T13:30:00+00:00,1.30528,1.30612,1.30514,1.30605,866
2024-10-11T14:00:00+00:00,1.30607,1.30698,1.30607,1.30676,822
2024-10-11T14:30:00+00:00,1.3066900000000001,1.30813,1.30546,1.30647,2018
2024-10-11T15:00:00+00:00,1.30647,1.30663,1.30567,1.30616,1329
2024-10-11T15:30:00+00:00,1.30618,1.30761,1.30602,1.3070300000000001,1523
2024-10-11T16:00:00+00:00,1.30705,1.30788,1.3066200000000001,1.30761,1654
2024-10-11T16:30:00+00:00,1.3075999999999999,1.30796,1.30702,1.30737,1465
2024-10-11T17:00:00+00:00,1.30737,1.30829,1.3072599999999999,1.3077,1253
2024-10-11T17:30:00+00:00,1.30771,1.3081,1.30685,1.30691,902
2024-10-11T18:00:00+00:00,1.3069,1.3075,1.30658,1.30728,868
2024-10-11T18:30:00+00:00,1.30728,1.30748,1.30686,1.30722,748
2024-10-11T19:00:00+00:00,1.30722,1.30754,1.30688,1.30751,658
2024-10-11T19:30:00+00:00,1.30751,1.3078,1.3072599999999999,1.3075999999999999,702
2024-10-11T20:00:00+00:00,1.30758,1.30778,1.3073299999999999,1.30741,629
2024-10-11T20:30:00+00:00,1.30742,1.30756,1.30709,1.30719,466
2024-10-11T21:00:00+00:00,1.30719,1.30729,1.30709,1.30719,364
2024-10-11T21:30:00+00:00,1.30719,1.3072300000000001,1.30641,1.3064200000000001,430
2024-10-11T22:00:00+00:00,1.30641,1.30673,1.30628,1.3067,447
2024-10-11T22:30:00+00:00,1.30666,1.3069,1.30612,1.30616,700
2024-10-13T23:00:00+00:00,1.3052000000000001,1.30637,1.3052000000000001,1.3062,197
2024-10-13T23:30:00+00:00,1.30619,1.30652,1.30603,1.30648,211
2024-10-14T00:00:00+00:00,1.30583,1.30626,1.30536,1.30553,400
2024-10-14T00:30:00+00:00,1.30552,1.30572,1.30524,1.30525,263
2024-10-14T01:00:00+00:00,1.30529,1.30542,1.30498,1.30504,282
2024-10-14T01:30:00+00:00,1.30505,1.3051,1.30463,1.30483,349
2024-10-14T02:00:00+00:00,1.3048199999999999,1.30527,1.30407,1.30499,552
2024-10-14T02:30:00+00:00,1.30498,1.30529,1.30458,1.30508,552
2024-10-14T03:00:00+00:00,1.30508,1.30519,1.3044,1.3048199999999999,978
2024-10-14T03:30:00+00:00,1.30483,1.30541,1.3044,1.30497,1203
2024-10-14T04:00:00+00:00,1.30495,1.30503,1.3042099999999999,1.30497,1163
2024-10-14T04:30:00+00:00,1.30498,1.3054299999999999,1.3048899999999999,1.30527,889
2024-10-14T05:00:00+00:00,1.30528,1.30606,1.30518,1.3060399999999999,756
2024-10-14T05:30:00+00:00,1.30606,1.30624,1.30586,1.30592,478
2024-10-14T06:00:00+00:00,1.3059,1.3060100000000001,1.30573,1.30584,330
2024-10-14T06:30:00+00:00,1.30583,1.30595,1.3057400000000001,1.30588,236
2024-10-14T07:00:00+00:00,1.30589,1.30621,1.30561,1.30612,692
2024-10-14T07:30:00+00:00,1.30612,1.30641,1.306,1.30639,760
2024-10-14T08:00:00+00:00,1.30641,1.3070300000000001,1.30639,1.30661,895
2024-10-14T08:30:00+00:00,1.30661,1.30717,1.3063799999999999,1.3064200000000001,816
2024-10-14T09:00:00+00:00,1.30641,1.3069,1.30613,1.30647,1114
2024-10-14T09:30:00+00:00,1.30647,1.30689,1.30562,1.30617,989
2024-10-14T10:00:00+00:00,1.30614,1.3066900000000001,1.30579,1.3060800000000001,831
2024-10-14T10:30:00+00:00,1.3061099999999999,1.3068,1.3057699999999999,1.3066499999999999,1005
2024-10-14T11:00:00+00:00,1.3066200000000001,1.30673,1.30606,1.30646,666
2024-10-14T11:30:00+00:00,1.30645,1.30645,1.3052000000000001,1.30537,676
2024-10-14T12:00:00+00:00,1.30536,1.30569,1.30505,1.30546,713
2024-10-14T12:30:00+00:00,1.3054700000000001,1.30616,1.30437,1.30575,923
2024-10-14T13:00:00+00:00,1.3057,1.30627,1.30429,1.3045900000000001,1041
2024-10-14T13:30:00+00:00,1.3045900000000001,1.30493,1.30368,1.30384,959
2024-10-14T14:00:00+00:00,1.30379,1.30468,1.3035999999999999,1.30396,1036
2024-10-14T14:30:00+00:00,1.30395,1.30407,1.30307,1.30341,1003
2024-10-14T15:00:00+00:00,1.30339,1.3036400000000001,1.30298,1.30341,988
2024-10-14T15:30:00+00:00,1.30341,1.30583,1.30301,1.30498,1764
2024-10-14T16:00:00+00:00,1.30498,1.30536,1.30422,1.3048899999999999,1527
2024-10-14T16:30:00+00:00,1.3049,1.30579,1.3042,1.30568,1401
2024-10-14T17:00:00+00:00,1.30569,1.30598,1.30481,1.30505,1115
2024-10-14T17:30:00+00:00,1.30505,1.30578,1.30488,1.3048899999999999,903
2024-10-14T18:00:00+00:00,1.3048899999999999,1.30507,1.3043,1.30447,780
2024-10-14T18:30:00+00:00,1.30444,1.30531,1.30442,1.30515,661
2024-10-14T19:00:00+00:00,1.3051300000000001,1.30531,1.30496,1.30519,547
2024-10-14T19:30:00+00:00,1.30521,1.30586,1.3052000000000001,1.30569,647
2024-10-14T20:00:00+00:00,1.30567,1.3059,1.30559,1.3056,668
2024-10-14T20:30:00+00:00,1.30559,1.3057400000000001,1.30488,1.30508,687
2024-10-14T21:00:00+00:00,1.30508,1.3060800000000001,1.30415,1.30568,1189
2024-10-14T21:30:00+00:00,1.30565,1.30578,1.30525,1.30551,716
