time,open,high,low,close,volume
2024-12-12T07:00:00+00:00,2713.61,2713.97,2710.21,2713.81,2443
2024-12-12T07:30:00+00:00,2713.83,2718.44,2713.23,2718.41,2300
2024-12-12T08:00:00+00:00,2718.42,2720.45,2717.99,2718.93,2327
2024-12-12T08:30:00+00:00,2718.88,2719.74,2715.41,2716.27,2247
2024-12-12T09:00:00+00:00,2716.35,2719.53,2714.95,2718.44,3566
2024-12-12T09:30:00+00:00,2718.43,2718.82,2715.52,2718.05,2661
2024-12-12T10:00:00+00:00,2718.12,2718.95,2714.21,2715.77,3718
2024-12-12T10:30:00+00:00,2715.74,2717.59,2714.09,2714.68,3455
2024-12-12T11:00:00+00:00,2714.65,2714.79,2709.93,2713.27,3309
2024-12-12T11:30:00+00:00,2713.29,2715.69,2711.18,2711.51,3075
2024-12-12T12:00:00+00:00,2711.56,2712.13,2707.33,2709.38,4404
2024-12-12T12:30:00+00:00,2709.44,2713.5,2709.31,2710.85,3039
2024-12-12T13:00:00+00:00,2710.89,2712.49,2710.3,2711.35,2345
2024-12-12T13:30:00+00:00,2711.37,2712.03,2706.03,2706.81,4052
2024-12-12T14:00:00+00:00,2706.89,2709.13,2701.55,2707.95,5990
2024-12-12T14:30:00+00:00,2707.94,2711.4,2697.41,2697.66,6853
2024-12-12T15:00:00+00:00,2697.65,2699.63,2683.05,2685.26,9322
2024-12-12T15:30:00+00:00,2684.86,2689.81,2680.95,2686.57,9315
2024-12-12T16:00:00+00:00,2686.44,2688.25,2681.11,2685.87,8726
2024-12-12T16:30:00+00:00,2685.76,2686.19,2675.13,2679.73,8266
2024-12-12T17:00:00+00:00,2679.71,2683.81,2677.43,2679.03,6134
2024-12-12T17:30:00+00:00,2679.02,2683.82,2678.85,2683.49,4617
2024-12-12T18:00:00+00:00,2683.53,2685.29,2681.49,2683.81,4676
2024-12-12T18:30:00+00:00,2683.84,2686.63,2683.74,2686.33,3599
2024-12-12T19:00:00+00:00,2686.31,2687.09,2682.91,2685.06,4106
2024-12-12T19:30:00+00:00,2685.05,2686.46,2683.81,2684.19,3526
2024-12-12T20:00:00+00:00,2684.17,2686.83,2683.89,2684.9,2688
2024-12-12T20:30:00+00:00,2684.89,2684.98,2682.48,2683.01,2537
2024-12-12T21:00:00+00:00,2682.99,2683.51,2681.5,2681.75,2497
2024-12-12T21:30:00+00:00,2681.79,2683.54,2679.34,2679.71,3312
2024-12-12T22:00:00+00:00,2679.69,2683.03,2679.69,2682.08,1818
