time,open,high,low,close,volume
2024-12-12T07:00:00+00:00,21747.38,21753.13,21736.01,21742.13,2223
2024-12-12T08:00:00+00:00,21741.88,21755.75,21728.63,21733.26,2218
2024-12-12T09:00:00+00:00,21733.01,21757.4,21723.51,21733.13,4435
2024-12-12T10:00:00+00:00,21732.88,21743.13,21711.76,21714.63,3932
2024-12-12T11:00:00+00:00,21715.01,21727.38,21709.13,21724.38,3100
2024-12-12T12:00:00+00:00,21724.26,21741.15,21701.63,21705.13,4268
2024-12-12T13:00:00+00:00,21708.76,21712.51,21675.13,21682.38,4538
2024-12-12T14:00:00+00:00,21681.38,21711.26,21629.63,21664.26,9589
2024-12-12T15:00:00+00:00,21664.13,21679.63,21636.98,21663.23,16401
2024-12-12T16:00:00+00:00,21662.73,21709.23,21605.61,21701.98,18747
2024-12-12T17:00:00+00:00,21701.48,21720.48,21652.11,21653.98,14483
2024-12-12T18:00:00+00:00,21654.48,21721.61,21650.23,21719.48,12673
2024-12-12T19:00:00+00:00,21719.73,21724.73,21675.73,21677.48,11587
2024-12-12T20:00:00+00:00,21677.86,21696.23,21645.48,21665.23,12081
2024-12-12T21:00:00+00:00,21663.98,21668.23,21624.61,21624.61,12273
2024-12-12T22:00:00+00:00,21623.61,21678.85,21585.26,21625.55,7384
2024-12-13T01:00:00+00:00,21725.35,21750.1,21720.47,21734.85,3907
2024-12-13T02:00:00+00:00,21734.72,21741.47,21713.97,21715.35,4285
2024-12-13T03:00:00+00:00,21715.47,21715.47,21690.1,21708.47,4316
2024-12-13T04:00:00+00:00,21707.85,21710.35,21681.1,21685.85,3138
2024-12-13T05:00:00+00:00,21685.72,21700.47,21679.47,21699.72,2381
2024-12-13T06:00:00+00:00,21699.97,21709.15,21688.6,21704.35,2519
2024-12-13T07:00:00+00:00,21703.97,21727.97,21703.97,21727.47,2886
2024-12-13T08:00:00+00:00,21726.72,21734.65,21706.72,21717.35,4218
2024-12-13T09:00:00+00:00,21717.1,21751.15,21713.1,21739.97,5191
2024-12-13T10:00:00+00:00,21739.22,21768.35,21737.1,21767.35,5275
2024-12-13T11:00:00+00:00,21767.47,21780.1,21762.22,21773.22,4103
2024-12-13T12:00:00+00:00,21773.6,21785.35,21767.1,21769.72,3952
2024-12-13T13:00:00+00:00,21770.72,21817.1,21762.97,21813.1,4971
2024-12-13T14:00:00+00:00,21813.22,21824.72,21795.6,21802.97,5700
2024-12-13T15:00:00+00:00,21803.22,21889.32,21757.47,21861.57,16522
2024-12-13T16:00:00+00:00,21861.82,21866.32,21668.32,21670.57,21341
2024-12-13T17:00:00+00:00,21669.95,21739.07,21648.7,21681.07,20206
2024-12-13T18:00:00+00:00,21680.95,21722.82,21661.32,21666.07,15997
2024-12-13T19:00:00+00:00,21666.32,21757.57,21663.07,21755.57,12760
2024-12-13T20:00:00+00:00,21755.82,21796.95,21740.95,21782.82,11849
2024-12-13T21:00:00+00:00,21782.95,21805.57,21756.57,21777.2,12603
2024-12-13T22:00:00+00:00,21778.95,21783.6,21733.1,21761.95,5045
2024-12-16T01:00:00+00:00,21780.59,21798.09,21775.59,21791.22,3809
2024-12-16T02:00:00+00:00,21790.97,21803.72,21773.34,21803.47,4395
2024-12-16T03:00:00+00:00,21803.22,21832.9,21797.97,21806.09,3323
2024-12-16T04:00:00+00:00,21806.47,21824.65,21793.34,21794.22,2867
2024-12-16T05:00:00+00:00,21794.09,21804.34,21786.59,21790.72,2303
2024-12-16T06:00:00+00:00,21790.59,21813.9,21774.22,21780.59,2987
2024-12-16T07:00:00+00:00,21780.22,21799.09,21779.97,21798.34,2677
2024-12-16T08:00:00+00:00,21798.59,21822.15,21782.97,21794.09,2908
2024-12-16T09:00:00+00:00,21793.72,21825.15,21785.09,21801.34,5926
2024-12-16T10:00:00+00:00,21800.34,21858.15,21796.59,21836.59,5451
2024-12-16T11:00:00+00:00,21836.72,21876.15,21836.59,21852.47,4433
2024-12-16T12:00:00+00:00,21852.34,21878.4,21827.84,21850.97,4719
2024-12-16T13:00:00+00:00,21850.84,21884.9,21844.34,21863.97,5537
