time,open,high,low,close,volume
2024-12-12T07:00:00+00:00,2713.61,2718.44,2710.21,2718.41,4743
2024-12-12T08:00:00+00:00,2718.42,2720.45,2715.41,2716.27,4574
2024-12-12T09:00:00+00:00,2716.35,2719.53,2714.95,2718.05,6227
2024-12-12T10:00:00+00:00,2718.12,2718.95,2714.09,2714.68,7173
2024-12-12T11:00:00+00:00,2714.65,2715.69,2709.93,2711.51,6384
2024-12-12T12:00:00+00:00,2711.56,2713.5,2707.33,2710.85,7443
2024-12-12T13:00:00+00:00,2710.89,2712.49,2706.03,2706.81,6397
2024-12-12T14:00:00+00:00,2706.89,2711.4,2697.41,2697.66,12843
2024-12-12T15:00:00+00:00,2697.65,2699.63,2680.95,2686.57,18637
2024-12-12T16:00:00+00:00,2686.44,2688.25,2675.13,2679.73,16992
2024-12-12T17:00:00+00:00,2679.71,2683.82,2677.43,2683.49,10751
2024-12-12T18:00:00+00:00,2683.53,2686.63,2681.49,2686.33,8275
2024-12-12T19:00:00+00:00,2686.31,2687.09,2682.91,2684.19,7632
2024-12-12T20:00:00+00:00,2684.17,2686.83,2682.48,2683.01,5225
2024-12-12T21:00:00+00:00,2682.99,2683.54,2679.34,2679.71,5809
2024-12-12T22:00:00+00:00,2679.69,2683.03,2679.69,2680.76,2820
2024-12-12T23:00:00+00:00,2680.67,2680.67,2680.67,2680.67,1
2024-12-13T01:00:00+00:00,2680.77,2685.64,2678.99,2685.48,3550
2024-12-13T02:00:00+00:00,2685.51,2692.77,2685.25,2689.93,10878
2024-12-13T03:00:00+00:00,2689.95,2691.23,2684.39,2686.64,9517
2024-12-13T04:00:00+00:00,2686.63,2691.33,2686.12,2688.18,5724
2024-12-13T05:00:00+00:00,2688.13,2688.67,2685.53,2687.38,4548
2024-12-13T06:00:00+00:00,2687.45,2689.53,2685.17,2688.34,5693
2024-12-13T07:00:00+00:00,2688.37,2690.53,2683.39,2689.72,7294
2024-12-13T08:00:00+00:00,2689.57,2690.13,2681.07,2683.19,6397
2024-12-13T09:00:00+00:00,2683.05,2684.81,2674.49,2675.02,7646
2024-12-13T10:00:00+00:00,2674.77,2676.96,2667.53,2668.99,9597
2024-12-13T11:00:00+00:00,2669.03,2670.22,2665.09,2666.65,7225
2024-12-13T12:00:00+00:00,2666.63,2669.45,2664.35,2664.97,6956
2024-12-13T13:00:00+00:00,2664.89,2672.78,2663.01,2672.57,7986
2024-12-13T14:00:00+00:00,2672.59,2672.96,2659.59,2662.23,13489
2024-12-13T15:00:00+00:00,2662.21,2663.97,2657.36,2660.21,13017
2024-12-13T16:00:00+00:00,2660.25,2662.68,2654.74,2659.99,13143
2024-12-13T17:00:00+00:00,2659.86,2664.57,2658.87,2662.21,9365
2024-12-13T18:00:00+00:00,2662.22,2662.35,2655.61,2656.31,7924
2024-12-13T19:00:00+00:00,2656.37,2657.05,2652.17,2654.23,7220
2024-12-13T20:00:00+00:00,2654.38,2655.28,2652.31,2652.99,5373
2024-12-13T21:00:00+00:00,2652.97,2653.48,2646.47,2647.81,6686
2024-12-13T22:00:00+00:00,2647.82,2649.84,2646.11,2647.86,3662
2024-12-16T01:00:00+00:00,2651.4,2651.63,2643.49,2647.1,4196
2024-12-16T02:00:00+00:00,2647.11,2655.57,2646.6,2653.38,9174
