timeframe,profile,bars_loaded,bars_evaluated,passed_regime_filter,failed_regime_filter,passed_spread_filter,failed_spread_filter,passed_volatility_filter,failed_volatility_filter,passed_trend_filter,failed_trend_filter,passed_pullback_filter,failed_pullback_filter,passed_rsi_filter,failed_rsi_filter,passed_ema_filter,failed_ema_filter,passed_score_threshold,failed_score_threshold,generated_signal_count,actionable_signal_count,blocked_by_risk_governor,opened_shadow_trade_count,closed_trade_count,buy_signals,sell_signals,avg_spread,avg_atr,restrictiveness_score,top_no_trade_reasons,top_restrictive_filters
H1,trend_continuation_v3_balanced,5000,4999,4123,876,4980,19,3268,1731,4980,19,3364,1635,4499,500,4829,170,1255,3744,523,523,0,2,2,523,0,25.0,553.729295,25.3915,"[{""reason"": ""cooldown_after_loss"", ""count"": 2468}, {""reason"": ""block_after_consecutive_losses"", ""count"": 2465}, {""reason"": ""trend_continuation_not_confirmed"", ""count"": 2328}, {""reason"": ""volatility_too_low"", ""count"": 1772}, {""reason"": ""regime_chop"", ""count"": 299}, {""reason"": ""ema_distance_too_far"", ""count"": 91}, {""reason"": ""extended_candle_no_chase"", ""count"": 30}, {""reason"": ""insufficient_history"", ""count"": 19}]","[{""reason"": ""score_threshold"", ""count"": 3744}, {""reason"": ""volatility_filter"", ""count"": 1731}, {""reason"": ""pullback_filter"", ""count"": 1635}, {""reason"": ""regime_filter"", ""count"": 876}, {""reason"": ""rsi_filter"", ""count"": 500}, {""reason"": ""ema_filter"", ""count"": 170}, {""reason"": ""spread_filter"", ""count"": 19}, {""reason"": ""trend_filter"", ""count"": 19}]"
H1,trend_continuation_v1,5000,4999,4123,876,4980,19,2699,2300,4519,480,3364,1635,4335,664,4609,390,946,4053,327,327,0,2,2,327,0,25.0,553.729295,28.8382,"[{""reason"": ""volatility_too_low"", ""count"": 2484}, {""reason"": ""cooldown_after_loss"", ""count"": 2301}, {""reason"": ""block_after_consecutive_losses"", ""count"": 2297}, {""reason"": ""trend_continuation_not_confirmed"", ""count"": 2076}, {""reason"": ""regime_chop"", ""count"": 250}, {""reason"": ""ema_distance_too_far"", ""count"": 184}, {""reason"": ""extended_candle_no_chase"", ""count"": 53}, {""reason"": ""insufficient_history"", ""count"": 19}]","[{""reason"": ""score_threshold"", ""count"": 4053}, {""reason"": ""volatility_filter"", ""count"": 2300}, {""reason"": ""pullback_filter"", ""count"": 1635}, {""reason"": ""regime_filter"", ""count"": 876}, {""reason"": ""rsi_filter"", ""count"": 664}, {""reason"": ""trend_filter"", ""count"": 480}, {""reason"": ""ema_filter"", ""count"": 390}, {""reason"": ""spread_filter"", ""count"": 19}]"
H1,breakout_pullback_v3_balanced,5000,4999,4123,876,4980,19,3268,1731,4980,19,880,4119,4335,664,4783,216,955,4044,55,55,0,2,2,54,1,25.0,553.729295,31.3807,"[{""reason"": ""pullback_not_confirmed"", ""count"": 3245}, {""reason"": ""cooldown_after_loss"", ""count"": 2138}, {""reason"": ""block_after_consecutive_losses"", ""count"": 2134}, {""reason"": ""volatility_too_low"", ""count"": 1914}, {""reason"": ""regime_chop"", ""count"": 323}, {""reason"": ""ema_distance_too_far"", ""count"": 126}, {""reason"": ""extended_candle_no_chase"", ""count"": 40}, {""reason"": ""insufficient_history"", ""count"": 19}]","[{""reason"": ""pullback_filter"", ""count"": 4119}, {""reason"": ""score_threshold"", ""count"": 4044}, {""reason"": ""volatility_filter"", ""count"": 1731}, {""reason"": ""regime_filter"", ""count"": 876}, {""reason"": ""rsi_filter"", ""count"": 664}, {""reason"": ""ema_filter"", ""count"": 216}, {""reason"": ""spread_filter"", ""count"": 19}, {""reason"": ""trend_filter"", ""count"": 19}]"
H1,breakout_pullback_v1,5000,4999,4123,876,4980,19,2354,2645,4980,19,880,4119,4146,853,4480,519,767,4232,31,31,0,2,2,30,1,25.0,553.729295,34.5693,"[{""reason"": ""volatility_too_low"", ""count"": 2919}, {""reason"": ""pullback_not_confirmed"", ""count"": 2212}, {""reason"": ""cooldown_after_loss"", ""count"": 2138}, {""reason"": ""block_after_consecutive_losses"", ""count"": 2134}, {""reason"": ""ema_distance_too_far"", ""count"": 256}, {""reason"": ""regime_chop"", ""count"": 226}, {""reason"": ""extended_candle_no_chase"", ""count"": 59}, {""reason"": ""insufficient_history"", ""count"": 19}]","[{""reason"": ""score_threshold"", ""count"": 4232}, {""reason"": ""pullback_filter"", ""count"": 4119}, {""reason"": ""volatility_filter"", ""count"": 2645}, {""reason"": ""regime_filter"", ""count"": 876}, {""reason"": ""rsi_filter"", ""count"": 853}, {""reason"": ""ema_filter"", ""count"": 519}, {""reason"": ""spread_filter"", ""count"": 19}, {""reason"": ""trend_filter"", ""count"": 19}]"
M15,breakout_pullback_v3_balanced,5000,4999,2116,2883,4980,19,102,4897,4980,19,890,4109,4527,472,4810,189,252,4747,3,3,0,2,2,3,0,25.0,191.431382,59.6769,"[{""reason"": ""volatility_too_low"", ""count"": 9771}, {""reason"": ""pullback_not_confirmed"", ""count"": 143}, {""reason"": ""regime_chop"", ""count"": 38}, {""reason"": ""insufficient_history"", ""count"": 19}, {""reason"": ""ema_distance_too_far"", ""count"": 12}, {""reason"": ""extended_candle_no_chase"", ""count"": 2}, {""reason"": ""cooldown_after_loss"", ""count"": 2}]","[{""reason"": ""volatility_filter"", ""count"": 4897}, {""reason"": ""score_threshold"", ""count"": 4747}, {""reason"": ""pullback_filter"", ""count"": 4109}, {""reason"": ""regime_filter"", ""count"": 2883}, {""reason"": ""rsi_filter"", ""count"": 472}, {""reason"": ""ema_filter"", ""count"": 189}, {""reason"": ""spread_filter"", ""count"": 19}, {""reason"": ""trend_filter"", ""count"": 19}]"
M15,capital_preservation_v3_balanced,5000,4999,2116,2883,4980,19,35,4964,3014,1985,3429,1570,4176,823,4577,422,100,4899,2,2,0,2,2,2,0,25.0,191.431382,61.137,"[{""reason"": ""volatility_too_low"", ""count"": 9905}, {""reason"": ""ema_rsi_not_confirmed"", ""count"": 38}, {""reason"": ""insufficient_history"", ""count"": 19}, {""reason"": ""ema_distance_too_far"", ""count"": 16}, {""reason"": ""regime_chop"", ""count"": 8}, {""reason"": ""extended_candle_no_chase"", ""count"": 2}, {""reason"": ""cooldown_after_loss"", ""count"": 2}]","[{""reason"": ""volatility_filter"", ""count"": 4964}, {""reason"": ""score_threshold"", ""count"": 4899}, {""reason"": ""regime_filter"", ""count"": 2883}, {""reason"": ""trend_filter"", ""count"": 1985}, {""reason"": ""pullback_filter"", ""count"": 1570}, {""reason"": ""rsi_filter"", ""count"": 823}, {""reason"": ""ema_filter"", ""count"": 422}, {""reason"": ""spread_filter"", ""count"": 19}]"
M15,volatility_squeeze_v1,5000,4999,4980,19,4980,19,579,4420,2630,2369,2360,2639,4464,535,4720,279,65,4934,1,1,0,1,1,1,0,25.0,191.431382,58.4341,"[{""reason"": ""volatility_too_low"", ""count"": 8820}, {""reason"": ""squeeze_breakout_not_confirmed"", ""count"": 1042}, {""reason"": ""ema_distance_too_far"", ""count"": 88}, {""reason"": ""extended_candle_no_chase"", ""count"": 26}, {""reason"": ""insufficient_history"", ""count"": 19}]","[{""reason"": ""score_threshold"", ""count"": 4934}, {""reason"": ""volatility_filter"", ""count"": 4420}, {""reason"": ""pullback_filter"", ""count"": 2639}, {""reason"": ""trend_filter"", ""count"": 2369}, {""reason"": ""rsi_filter"", ""count"": 535}, {""reason"": ""ema_filter"", ""count"": 279}, {""reason"": ""regime_filter"", ""count"": 19}, {""reason"": ""spread_filter"", ""count"": 19}]"
M15,session_filtered_v1,5000,4999,2116,2883,4980,19,24,4975,3014,1985,3429,1570,4379,620,4426,573,245,4754,1,1,0,1,1,1,0,25.0,191.431382,62.765,"[{""reason"": ""volatility_too_low"", ""count"": 7870}, {""reason"": ""session_filter"", ""count"": 2088}, {""reason"": ""insufficient_history"", ""count"": 19}, {""reason"": ""trend_continuation_not_confirmed"", ""count"": 10}, {""reason"": ""regime_chop"", ""count"": 4}, {""reason"": ""ema_distance_too_far"", ""count"": 2}, {""reason"": ""cooldown_after_loss"", ""count"": 2}]","[{""reason"": ""volatility_filter"", ""count"": 4975}, {""reason"": ""score_threshold"", ""count"": 4754}, {""reason"": ""regime_filter"", ""count"": 2883}, {""reason"": ""trend_filter"", ""count"": 1985}, {""reason"": ""pullback_filter"", ""count"": 1570}, {""reason"": ""rsi_filter"", ""count"": 620}, {""reason"": ""ema_filter"", ""count"": 573}, {""reason"": ""spread_filter"", ""count"": 19}]"
M15,ema_rsi_confirmed_v1,5000,4999,2116,2883,4980,19,35,4964,4980,19,3429,1570,3688,1311,3996,1003,100,4899,1,1,0,1,1,1,0,25.0,191.431382,61.3427,"[{""reason"": ""volatility_too_low"", ""count"": 9907}, {""reason"": ""ema_rsi_not_confirmed"", ""count"": 28}, {""reason"": ""ema_distance_too_far"", ""count"": 26}, {""reason"": ""insufficient_history"", ""count"": 19}, {""reason"": ""regime_chop"", ""count"": 8}, {""reason"": ""extended_candle_no_chase"", ""count"": 4}]","[{""reason"": ""volatility_filter"", ""count"": 4964}, {""reason"": ""score_threshold"", ""count"": 4899}, {""reason"": ""regime_filter"", ""count"": 2883}, {""reason"": ""pullback_filter"", ""count"": 1570}, {""reason"": ""rsi_filter"", ""count"": 1311}, {""reason"": ""ema_filter"", ""count"": 1003}, {""reason"": ""spread_filter"", ""count"": 19}, {""reason"": ""trend_filter"", ""count"": 19}]"
M15,atr_trailing_v1,5000,4999,2116,2883,4980,19,24,4975,2630,2369,3429,1570,4379,620,4426,573,181,4818,1,1,0,1,1,1,0,25.0,191.431382,63.6611,"[{""reason"": ""volatility_too_low"", ""count"": 9930}, {""reason"": ""trend_continuation_not_confirmed"", ""count"": 28}, {""reason"": ""insufficient_history"", ""count"": 19}, {""reason"": ""ema_distance_too_far"", ""count"": 10}, {""reason"": ""regime_chop"", ""count"": 4}, {""reason"": ""extended_candle_no_chase"", ""count"": 2}, {""reason"": ""cooldown_after_loss"", ""count"": 2}]","[{""reason"": ""volatility_filter"", ""count"": 4975}, {""reason"": ""score_threshold"", ""count"": 4818}, {""reason"": ""regime_filter"", ""count"": 2883}, {""reason"": ""trend_filter"", ""count"": 2369}, {""reason"": ""pullback_filter"", ""count"": 1570}, {""reason"": ""rsi_filter"", ""count"": 620}, {""reason"": ""ema_filter"", ""count"": 573}, {""reason"": ""spread_filter"", ""count"": 19}]"
